family,recordId,field,hasValue,stageReady
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,provenanceUrl,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,sourceRole,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,sourceUrl,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,finalUrl,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,artifactPath,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,sha256,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,fetchedAt,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,supportingText,1,1
dd_routing,california|dd_routing|regional-centers|eligibility|cd9995e056b969f798abbd6f50d55bfd2a84d341ec3f6760dfc6f8bdff68ff00,supportingPageLocation,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,authority,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,agency,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,provenanceUrl,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,sourceRole,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,sourceUrl,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,finalUrl,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,artifactPath,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,sha256,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,fetchedAt,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,supportingText,1,1
dd_routing,california|dd_routing|regional-centers|official_directory|d0dfb8b7ea3a1e2a3af5631620fef7bf5458b204996caaf634fa4e7fe0509ab8,supportingPageLocation,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,authority,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,agency,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,provenanceUrl,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,sourceRole,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,sourceUrl,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,finalUrl,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,artifactPath,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,sha256,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,fetchedAt,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,supportingText,1,1
dd_routing,california|dd_routing|regional-centers|individual_program_plan|77741ff7f53f4a9fd987ad3fca22e693ff18739f8affb74cb1ecb96a479cad1d,supportingPageLocation,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,authority,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,agency,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,provenanceUrl,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,sourceRole,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,sourceUrl,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,finalUrl,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,artifactPath,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,sha256,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,fetchedAt,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,supportingText,1,1
dd_routing,california|dd_routing|early-start|program_eligibility_referral|7d3aab4a10be7a29bb522fd873484c915f60aeda5902e2837d2d2f6d679b8972,supportingPageLocation,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,authority,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,agency,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,provenanceUrl,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,sourceRole,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,sourceUrl,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,finalUrl,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,artifactPath,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,sha256,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,fetchedAt,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,supportingText,1,1
dd_routing,california|dd_routing|early-start|parent_rights|545050c47fb49d107685740388cb97267db7648720b460ff377f38ae20974a96,supportingPageLocation,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,authority,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,agency,1,1
dd_routing,california|dd_routing|early-start|age_three_transition_resources|e6d3ef3251fd4e16da7a4712c07fb4e9e44721013931b7472c00c96f4a38d97c,provenanceUrl,1,1
