Found 2244 usages of dead/stale URLs:
Table: county_offices            | Column: source_url   | ID: off-polk-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-seminole-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-calhoun-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-bay-fl-fl-medicaid    | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-gulf-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-washington-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-holmes-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-escambia-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-volusia-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-marion-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-osceola-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-st-lucie-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-collier-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-sarasota-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-manatee-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-lake-fl-fl-medicaid   | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-hernando-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-sumter-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-charlotte-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-highlands-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-hendry-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-desoto-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-hardee-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-monroe-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-martin-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-indian-river-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
Table: county_offices            | Column: source_url   | ID: off-okeechobee-fl-fl-medicaid | Value: https://www.myflfamilies.com/ACCESS
